ID,2025追加削除,レポート抽出用,CategoryNo.,カテゴリ,SubCategoryNo.,サブカテゴリ,項目グループ,項目名
10,,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",メニュー,メニュー構造により同一階層コンテンツの横移動ができる
20,,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",メニュー,メニューの表示の仕方はページによって変化しない
30,,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",メニュー,メニューの色と形により現在位置を把握できる
40,,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",メニュー,メニュー項目数は適切な数（Global: 8以内・Local: 12以内）となっている
50,表現変更,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",メニュー,ドロップダウン/マウスオーバーメニューを採用している場合は十分な領域のメニューが出る
60,表現変更,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",メニュー,ドロップダウン/マウスオーバーメニューはファーストビュー内に収まっている
65,新規,,1,ウェブサイトの使いやすさ,111,"メニューとナビゲーション
",メニュー,画面をスクロールダウンしてもヘッダーメニューを固定表示している
70,,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",メニュー,グローバルメニューの表示には「株主」「投資家」を含む
80,,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",ナビゲーション,パンくずリストにより現在位置確認や上位階層への移動ができる
90,,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",ナビゲーション,縦に長いページには先頭へ戻るアンカーリンクを設置している
100,,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",ナビゲーション,ページ下部に関連リンクを設置している
110,移動,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",ナビゲーション,ページ内にスクロールエリアを使用していない
120,移動,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",ナビゲーション,フッターナビゲーションがある
130,移動,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",ナビゲーション,アクセスランキングを掲載している
140,移動,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",ナビゲーション,404エラーページ主領域にサイトマップ（またはサイト内検索）を配置している
150,移動,,1,ウェブサイトの使いやすさ,110,"メニューとナビゲーション
",ナビゲーション,すべてのページにサイトマップがある
160,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,デザイン,サイト全体でデザインを統一している
170,表現変更,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,デザイン,レスポンシブデザインに対応している
180,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,IRトップ,IRトップのカルーセルパネルは３枚以下もしくは10秒以下の動画である
190,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,IRトップ,IRトップのカルーセルパネルや動画には停止ボタンを設置している
195,新規,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,IRトップ,IRトップのファーストビューのイメージ画像・動画領域は過度に大きすぎない
200,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,IRトップ,IRトップのファーストビュー内に次の予定（イベント名と日付）を掲載している
220,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,IRトップ,IRトップにはIRニュース一覧を掲載している
230,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,IRトップ,IRトップに掲載するIRニュース一覧では適時開示が区別できる
240,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,IRトップ,IRトップにはトップの顔写真を掲載している
241,新規,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,IRトップ,IRトップではby the numbers形式で主要KPI等を紹介している
242,新規,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,IRトップ,IRトップでは、最新資料一式をまとめて表示している、もしくは最新資料一式への動線を設置している（1クリック）
243,新規,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,IRトップ,IRトップから統合報告書への動線を設置している（1クリック）
244,新規,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,アクセシビリティ,テキストによる代替：全ての画像等のコンテンツに代替テキストを設定（2.0A）
245,新規,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,アクセシビリティ,色の仕様：色の違いが識別できなくてもコンテンツが認識できるよう表示（2.0A）
246,新規,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,アクセシビリティ,一時停止、停止、非表示：（トップページ）自動で動作するカルーセルパネルには一時停止ボタンを設置（2.0A）
310,移動・表現変更,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,アクセシビリティ,リンクの目的：リンク先コンテンツが類推できるようリンクテキストを記載（2.0A）
280,移動・表現変更,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,アクセシビリティ,コントラスト：[文字/画像]などと、[背景]のコントラスト比が1:4.5以上となっている（2.0AA）
